"Sex, age, and race and 
Hispanic origin
20 years and over, age adjusted\4",1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,,,,,,,,,,,,,,,,
All persons\5,8.8,0.5,10.8,0.7,11.7,0.7,11.6,0.7,12.0,0.6,12.5,0.6,12.6,0.8,12.9,0.7,13.9,0.6,14.4,0.7,5.2,0.4,6.6,0.6,7.4,0.5,7.7,0.5,7.9,0.5,8.1,0.5,8.4,0.6,9.0,0.6,9.7,0.5,10.1,0.6,3.6,0.3,4.2,0.3,4.3,0.4,4.0,0.4,4.2,0.3,4.4,0.3,4.2,0.4,3.9,0.3,4.2,0.4,4.3,0.4,,,,,,,,,,,,,,,,
Male,9.6,0.6,12.1,1.0,13.4,0.9,12.3,0.8,12.8,0.7,14.5,1.0,14.3,1.0,14.1,0.8,15.8,0.9,16.6,0.9,5.5,0.5,7.3,0.8,7.9,0.7,7.0,0.6,7.4,0.5,8.8,0.8,9.0,0.8,9.4,0.6,10.8,0.9,11.8,0.9,4.1,0.4,4.8,0.5,5.5,0.6,5.3,0.7,5.4,0.6,5.7,0.5,5.3,0.5,4.6,0.6,5.1,0.7,4.7,0.7,,,,,,,,,,,,,,,,
Female,8.2,0.8,9.7,0.9,10.2,0.8,11.0,0.8,11.4,0.8,10.7,0.7,11.0,0.8,11.9,0.8,12.2,0.7,12.6,0.9,5.1,0.5,5.9,0.7,6.9,0.6,8.2,0.7,8.2,0.7,7.4,0.6,7.8,0.7,8.7,0.7,8.8,0.7,8.7,0.7,3.2,0.4,3.8,0.4,3.3,0.4,2.8,0.4,3.1,0.4,3.2,0.4,3.2,0.4,3.2,0.3,3.4,0.4,3.8,0.5,,,,,,,,,,,,,,,,
Not Hispanic or Latino:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White only,7.7,0.6,9.5,0.8,10.0,0.8,9.9,0.8,10.3,0.8,10.6,0.8,10.1,0.8,10.6,0.8,12.3,0.8,12.4,0.9,4.8,0.5,5.5,0.7,6.1,0.6,6.2,0.5,6.6,0.6,6.7,0.7,6.6,0.7,7.6,0.7,8.5,0.7,8.7,0.7,2.9,0.3,4.0,0.4,3.9,0.5,3.7,0.6,3.7,0.5,3.8,0.3,3.4,0.4,3.0,0.4,3.8,0.5,3.7,0.5,,,,,,,,,,,,,,,,
Black or African American only,16.3,0.9,15.0,1.2,16.6,1.3,17.2,1.4,19.5,1.5,19.1,1.2,18.7,1.3,18.7,1.3,18.0,0.9,18.6,0.9,9.1,0.7,9.2,1.0,11.7,1.3,13.0,1.4,13.2,1.3,13.2,1.2,13.3,1.0,13.4,0.8,14.0,0.7,13.4,0.9,7.2,0.5,5.8,0.9,4.9,0.6,4.2,0.5,6.3,0.7,5.8,0.7,5.4,0.9,5.2,0.9,4.0,0.6,5.2,0.7,,,,,,,,,,,,,,,,
Asian only,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,17.0,1.5,16.1,1.2,16.9,1.2,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,10.4,1.0,10.9,1.2,11.5,1.1,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,6.6,1.2,5.2,1.1,5.5,1.0,,,,,,,,,,,,,,,,
Hispanic or Latino,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,18.7,1.3,19.3,1.5,18.4,1.4,19.7,1.0,20.8,0.9,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,12.3,0.9,12.4,1.1,12.1,0.9,13.6,0.8,14.9,0.9,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,6.5,0.7,7.0,0.7,6.2,0.8,6.1,0.7,5.9,0.7,,,,,,,,,,,,,,,,
Mexican origin,15.6,0.9,15.1,1.4,17.4,1.8,18.2,1.9,19.5,1.2,20.6,1.4,21.7,2.0,19.7,1.9,20.5,1.2,23.2,1.1,10.7,0.9,10.8,1.3,12.7,1.3,12.9,1.2,12.6,0.8,13.4,1.0,13.9,1.3,13.0,1.0,13.9,0.7,16.5,1.2,5.0,0.7,*4.3,0.9,4.8,0.9,5.3,0.9,6.9,0.8,7.2,0.7,7.9,0.9,6.7,1.1,6.6,1.0,6.7,0.9,,,,,,,,,,,,,,,,
Percent of poverty level\6:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
